0;1;2;3;sum
8.76;8.19;7.27;8.33;62.88
10.0;10.0;10.0;0.0;47.5
10.0;8.15;8.75;9.63;69.26
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
7.38;9.41;10.0;9.0;65.07
10.0;10.0;8.92;9.47;38.39
10.0;10.0;9.33;10.0;77.9
7.81;7.28;7.71;8.83;60.99
8.67;7.15;8.67;9.47;64.53
10.0;10.0;8.88;10.0;77.45
0.0;0.0;0.0;0.0;0.0
9.29;9.89;8.96;10.0;66.35
10.0;10.0;8.63;10.0;64.35
0.0;0.0;0.0;0.0;0.0
7.57;7.09;7.79;8.8;63.8
7.14;8.3;6.98;6.93;55.08
10.0;10.0;9.33;10.0;76.54
6.67;9.26;6.94;9.13;54.93
10.0;10.0;9.17;10.0;74.23
10.0;10.0;10.0;10.0;74.26
9.71;8.02;7.29;8.13;63.71
9.52;10.0;10.0;10.0;76.1
8.57;9.26;6.88;10.0;60.01
6.19;8.17;7.46;7.93;60.05
10.0;10.0;10.0;10.0;77.97
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
9.43;10.0;7.21;9.33;68.31
8.57;8.33;7.92;10.0;68.56
6.29;10.0;6.4;8.17;30.86
0.0;0.0;0.0;0.0;0.0
8.81;9.26;0.0;0.0;18.07
8.38;8.61;8.21;8.47;64.54
6.86;5.63;6.67;6.63;48.49
0.0;1.48;0.0;0.0;1.48
8.57;8.7;8.83;9.8;57.32
8.67;9.52;10.0;10.0;70.68
10.0;10.0;10.0;10.0;78.98
10.0;10.0;7.46;10.0;72.46
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;65.69
8.52;6.3;6.96;8.63;47.1
10.0;9.89;8.17;9.0;51.62
9.52;9.15;10.0;10.0;71.26
0.0;0.0;0.0;0.0;0.0
7.14;8.59;6.67;0.0;36.19
8.1;8.2;8.54;8.47;62.06
0.0;0.0;0.0;0.0;0.0
10.0;10.0;7.92;10.0;76.79
10.0;9.41;9.33;9.63;46.94
0.0;0.0;0.0;0.0;0.0
10.0;6.7;7.4;6.97;53.01
10.0;10.0;10.0;10.0;80.0
10.0;10.0;9.75;10.0;79.35
0.0;0.0;0.0;0.0;0.0
10.0;8.93;8.33;9.6;61.37
10.0;9.41;0.0;0.0;19.41
6.43;6.35;6.35;0.0;19.13
8.67;2.24;1.58;0.0;18.39
9.29;0.0;0.0;0.0;9.29
6.14;7.94;7.46;9.8;56.39
6.76;6.15;7.04;8.47;53.96
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
9.0;10.0;8.63;10.0;77.13
9.86;10.0;8.71;7.33;65.77
8.1;8.78;8.19;10.0;58.61
8.81;6.0;8.96;9.3;53.98
10.0;8.11;7.67;9.43;62.3
6.14;7.11;0.0;0.0;13.25
7.86;9.15;8.17;0.0;41.82
0.0;0.0;0.0;0.0;0.0
10.0;8.37;9.08;9.63;71.19
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
5.71;8.87;6.35;7.5;59.46
10.0;9.78;9.5;10.0;67.85
10.0;9.09;9.33;9.0;71.96
8.1;6.07;8.33;7.47;52.34
10.0;9.52;7.46;8.8;66.6
9.29;9.26;7.1;9.27;65.78
8.1;7.48;8.38;7.97;65.89
7.86;8.87;9.58;8.47;68.65
9.52;8.61;7.96;8.27;60.24
0.0;0.0;0.0;0.0;0.0
9.05;6.78;7.15;6.27;57.54
8.57;8.3;7.9;9.8;59.54
7.14;10.0;6.46;0.0;23.6
8.05;6.2;8.08;9.0;61.75
10.0;10.0;9.58;10.0;55.08
10.0;9.63;9.58;10.0;57.81
8.43;10.0;9.5;10.0;75.43
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
9.52;10.0;8.44;10.0;64.16
0.0;0.0;0.0;0.0;0.0
6.19;7.11;10.0;9.3;62.09
10.0;10.0;10.0;10.0;78.58
9.71;10.0;9.17;10.0;73.74
8.29;9.78;8.54;10.0;71.81
6.19;9.78;7.52;9.1;65.18
7.62;6.04;6.65;9.13;29.44
7.14;9.78;7.46;0.0;24.38
9.14;9.78;6.13;6.43;59.58
6.67;7.33;7.4;10.0;67.24
10.0;10.0;8.42;10.0;68.88
0.0;0.0;0.0;0.0;0.0
8.81;7.72;6.79;9.67;65.6
7.86;9.15;6.25;10.0;57.9
9.05;7.91;6.85;9.63;59.68
7.81;10.0;6.5;9.63;62.71
9.29;8.52;8.42;10.0;61.33
10.0;10.0;9.17;9.47;74.45
10.0;10.0;10.0;0.0;47.5
7.33;6.59;4.75;0.0;18.67
4.05;3.44;5.02;4.4;31.39
8.1;10.0;7.96;9.3;63.95
6.43;10.0;6.06;9.0;60.55
10.0;10.0;10.0;0.0;50.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
9.29;10.0;10.0;9.63;75.49
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;69.29
10.0;9.63;8.71;10.0;62.75
10.0;9.41;0.0;0.0;19.41
8.29;9.3;8.75;10.0;70.99
0.0;0.0;0.0;0.0;0.0
10.0;9.41;10.0;10.0;72.93
10.0;10.0;10.0;10.0;79.9
8.1;7.39;9.13;9.33;64.39
8.38;8.67;6.15;6.63;49.58
9.29;9.72;4.33;10.0;59.02
9.57;8.8;9.38;10.0;62.82
6.14;3.91;6.79;8.13;24.97
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;0.0;0.0;0.0;10.0
9.52;7.87;8.96;10.0;68.3
10.0;9.15;9.38;9.33;58.76
9.14;10.0;3.21;0.0;22.35
10.0;10.0;10.0;10.0;69.69
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;65.3
7.86;8.89;6.69;6.3;49.22
8.57;8.28;9.08;9.47;58.96
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;9.78;10.0;9.67;69.16
10.0;9.52;10.0;10.0;77.74
8.57;8.22;8.25;8.67;63.65
10.0;9.41;10.0;10.0;66.33
8.05;9.72;10.0;10.0;62.6
9.24;10.0;9.75;9.5;71.85
10.0;10.0;10.0;9.33;74.29
7.52;10.0;8.46;8.0;68.7
9.24;8.09;6.4;8.5;59.22
8.33;9.78;9.25;10.0;72.1
10.0;9.52;9.27;8.47;70.07
9.24;9.52;9.33;10.0;54.6
10.0;10.0;8.92;9.0;68.6
8.57;10.0;10.0;10.0;68.43
10.0;9.3;8.54;10.0;73.66
7.62;9.89;7.98;8.8;49.42
10.0;9.78;9.13;10.0;77.28
2.57;0.0;0.0;0.0;2.57
0.0;0.0;0.0;0.0;0.0
8.81;8.76;9.27;0.0;26.84
10.0;7.96;9.25;10.0;64.13
0.0;0.0;0.0;0.0;0.0
7.38;7.04;7.25;6.3;54.77
8.48;9.44;8.02;9.33;68.17
0.0;0.0;0.0;0.0;0.0
10.0;10.0;9.17;10.0;69.17
8.81;8.78;0.0;0.0;17.59
4.48;0.0;0.0;0.0;4.48
7.33;7.0;7.67;10.0;68.45
7.62;5.0;4.92;9.0;51.03
6.67;8.96;9.75;6.3;66.14
8.29;8.89;6.19;6.43;54.27
5.95;6.98;0.0;0.0;20.31
7.86;8.93;8.17;10.0;64.57
10.0;10.0;10.0;9.67;75.48
7.38;7.15;7.71;7.43;51.38
9.43;10.0;10.0;10.0;76.74
10.0;10.0;7.15;0.0;37.15
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;65.88
0.0;0.0;0.0;0.0;0.0
10.0;8.63;6.88;7.63;63.53
0.0;0.0;0.0;0.0;0.0
8.67;9.44;5.67;0.0;23.78
10.0;10.0;9.08;10.0;70.41
8.1;10.0;8.63;9.67;68.78
8.57;7.2;7.19;9.0;62.69
9.52;9.3;9.58;0.0;47.75
9.71;10.0;10.0;10.0;78.5
10.0;10.0;10.0;10.0;80.0
6.9;9.15;8.75;8.0;47.72
6.38;6.2;8.08;6.17;54.92
10.0;10.0;8.75;10.0;78.5
8.57;9.04;7.31;9.43;61.97
0.0;0.0;7.5;0.0;7.5
7.86;10.0;8.33;0.0;26.19
0.0;0.0;0.0;0.0;0.0
10.0;10.0;10.0;10.0;80.0
6.95;8.56;7.92;9.17;63.23
6.86;6.78;7.92;6.43;49.42
8.67;9.13;7.25;9.0;64.58
7.81;5.72;7.6;9.0;42.56
6.86;4.22;5.15;0.0;16.23
10.0;10.0;10.0;10.0;77.71
0.0;10.0;9.33;9.8;47.7
10.0;10.0;10.0;10.0;79.76
8.29;8.52;9.58;9.83;61.2
10.0;10.0;10.0;10.0;69.43
